Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T001_001,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T007_012,SE_T007_013,SE_T012_001,SE_T012_002,SE_T012_003,SE_T012_004,SE_T012_005,SE_T012_006,SE_T053_001,SE_T053_002,SE_T053_003,SE_T053_004,SE_T053_005,SE_T053_006,SE_T053_007,SE_T053_008,SE_T053_009,SE_T053_010,SE_T053_011,SE_T053_012,SE_T053_013,SE_T053_014,SE_T053_015,SE_T053_016,SE_T053_017,SE_T053_018,SE_T066_001,SE_T066_002,SE_T066_003,SE_T101_001,SE_T101_002,SE_T101_003,SE_T101_004,SE_T101_005,SE_T101_006,SF3_T031_001,SF3_T031_002,SF3_T031_003,SF3_T031_004,SF3_T031_005,SF3_T031_006,SF3_T031_007,SF3_T031_008,SF3_T031_009,SF3_T031_010,SF3_T031_011,SF3_T031_012,SF3_T031_013,SF3_T031_014,SF3_T031_015,SF3_T031_016,SF3_T031_017,SF3_T031_018,SF3_T031_019
29189220502,Census Tract 2205.02,"Census Tract 2205.02, St. Louis County, Missouri",0,29,189,220502,7840.088888,7840.088888,414.0653006,519.8442776,611.4816802,449.1364053,1003.486125,1151.124162,880.1715952,973.5059867,962.1927271,601.2997466,229.0935065,44.68737533,7840.088888,7746.188833,14.14157447,7.353618726,39.03074555,33.37411576,2905.810723,57.13196087,106.34464,190.6284239,180.4464903,212.1236171,203.0730094,257.3766554,242.669418,248.3260477,234.1844733,239.8411031,133.496463,241.538092,140.8500818,132.3651371,75.2331762,10.18193362,2916.558319,2152.913298,763.6450215,7840.088888,7643.238171,6315.62716,1297.065211,30.54580086,196.8507167,7426.023587,1609.876838,1561.795485,48.08135321,7.353618726,0,7.353618726,40.72773448,37.33375661,3.393977874,5816.146749,5595.538187,220.6085618,39.59640852,35.63676767,3.959640852,181.0121533,173.6585345,7.353618726
29189220601,Census Tract 2206.01,"Census Tract 2206.01, St. Louis County, Missouri",0,29,189,220601,5436.647204,5436.647204,265.8360581,322.8009278,484.7010835,430.7343649,672.5852148,724.553166,716.5580966,729.5500844,588.6369859,371.7707279,104.9352861,23.98520825,5436.647204,5410.663229,0.999383677,7.995069418,9.993836772,6.995685741,1844.862268,23.98520825,56.9648696,72.95500844,53.96671857,136.9155638,110.9315882,120.9254249,192.8810497,180.8884456,120.9254249,173.8927598,121.9248086,202.8748865,140.9130985,73.95439212,49.96918386,9.993836772,1876.842546,1568.03299,308.8095563,5394.67309,5266.751979,4483.235176,774.5223499,8.994453095,127.9211107,5147.825321,1218.248703,1178.273355,39.97534709,4.996918386,4.996918386,0,34.9784287,34.9784287,0,3929.576619,3775.671533,153.9050863,4.996918386,0,4.996918386,148.9081679,143.9112495,4.996918386
29189220602,Census Tract 2206.02,"Census Tract 2206.02, St. Louis County, Missouri",0,29,189,220602,5950.352754,5950.352754,313.1639395,349.1990698,534.2989127,426.2656324,708.4147804,754.4468289,750.4418983,893.4499087,692.3630089,339.2292701,151.0647126,38.0147914,5950.352754,5905.33673,5.000616262,9.004930517,24.00616297,7.004314214,2014.137718,19.01479166,52.03513009,69.04499114,75.0332808,151.0844351,106.0684112,102.0745745,147.1189497,192.1115531,93.07457464,230.1072383,161.0751901,229.1251119,131.0869007,139.0456065,110.030815,7.006163203,2020.15744,1570.967,449.1904398,5950.326868,5750.24798,4865.76479,873.4776438,11.00554682,200.0788875,5637.174639,1343.751288,1278.726636,65.02465231,10.00308151,10.00308151,0,55.0215708,55.0215708,0,4293.423351,4042.328439,251.0949114,27.00308129,21.9999997,5.003081581,224.0918301,213.0887486,11.0030815
29189220701,Census Tract 2207.01,"Census Tract 2207.01, St. Louis County, Missouri",0,29,189,220701,3110.999984,3110.999984,164.9999991,171.9999991,229.9999988,138.9999993,436.9999977,551.9999971,363.9999981,345.9999982,336.9999983,248.9999987,101.9999995,17.99999991,3110.999984,3095.999984,4.999999974,0,7.999999959,1.99999999,1268.999993,7.999999959,32.99999983,62.99999967,55.99999971,74.99999961,90.99999953,111.9999994,104.9999995,119.9999994,144.9999993,98.99999949,61.99999968,132.9999993,67.99999965,47.99999975,35.99999981,14.99999992,1282.999993,713.9999963,568.9999971,3125.999984,3050.999984,2470.999987,574.999997,4.999999974,74.99999961,2942.999985,523.9999973,504.9999974,18.9999999,4.999999974,4.999999974,0,13.99999993,13.99999993,0,2418.999987,2298.999988,119.9999994,8.999999953,8.999999953,0,110.9999994,102.9999995,7.999999959
29189220702,Census Tract 2207.02,"Census Tract 2207.02, St. Louis County, Missouri",0,29,189,220702,4371.07902,4371.07902,207.5763553,251.4867381,351.2830628,285.4174885,509.959219,536.9042266,507.9632925,727.5152067,556.8634916,288.4113783,126.7413323,20.95722818,4371.07902,4342.138086,1.995926493,0,19.95926493,6.985742726,1477.983568,11.97555896,5.987779479,55.88594181,42.9124196,45.90630934,93.80854517,96.80243491,112.7698469,121.7515161,122.7494793,109.7759571,90.81465544,206.578392,99.79632465,169.6537519,78.83909648,11.97555896,1448.044671,1302.342037,145.702634,4375.070873,4277.270475,3612.626952,658.6557427,5.987779479,97.80039816,4166.496554,844.2769066,825.3156049,18.96130168,0,0,0,18.96130168,18.96130168,0,3322.219648,3189.490536,132.7291118,11.97555896,5.987779479,5.987779479,120.7535528,120.7535528,0
29189220703,Census Tract 2207.03,"Census Tract 2207.03, St. Louis County, Missouri",0,29,189,220703,3277.921118,3277.921118,189.4236509,190.5132698,302.7169478,254.58252,385.040797,367.0957906,446.0367228,547.4848161,346.1365267,159.5886314,72.25867191,17.04277247,3277.921118,3248.862051,0.004073585,10.99999988,18.04073566,0.014257549,1000.016479,20.0244413,23.01222051,8.114060305,46.0875816,53.09369191,53.19145795,51.19756835,70.23015684,67.248488,79.25052467,57.22404659,60.1853475,120.4216148,118.203678,87.34625384,58.16090601,27.02444123,1026.955375,931.6580047,95.29737073,3149.929266,3092.729661,2495.373163,591.344277,6.012220693,57.19960508,2936.503579,771.7231185,751.6844196,20.03869885,10.99999988,10.99999988,0,9.038698966,9.038698966,0,2164.78046,2073.509568,91.27089247,5.024441459,5.012220703,0.012220756,86.24645101,81.24645106,4.999999947
29189220801,Census Tract 2208.01,"Census Tract 2208.01, St. Louis County, Missouri",0,29,189,220801,6128.97419,6128.97419,235.9999463,259.999032,378.9981049,331.9979934,777.9975966,823.9981655,643.9967566,800.9960998,914.9958418,642.9966266,255.9984831,60.9995437,6128.97419,6023.974723,22.99979338,6.999918279,49.9999816,24.99977416,2586.98838,23.99983673,113.9991932,172.9987176,184.9986696,199.9992524,178.0005519,167.0002099,163.9993673,141.0001517,141.9999735,194.9987468,106.9998526,214.998805,98.00010759,178.9986407,206.9975724,97.99873074,2584.988678,1530.995207,1053.993471,6128.974238,5908.975611,4596.982521,1293.993196,17.9998944,219.9986269,5892.974446,936.996208,914.9963521,21.99985595,2.999956724,2.999956724,0,18.99989923,14.99995693,3.999942298,4955.978238,4649.979966,305.9982721,29.99969241,29.99969241,0,275.9985797,261.9986758,13.99990396
29189220802,Census Tract 2208.02,"Census Tract 2208.02, St. Louis County, Missouri",0,29,189,220802,5627.999992,5627.999992,238.9999997,297.9999996,418.9999994,356.9999995,699.9999991,695.9999991,633.9999991,905.9999988,773.999999,391.9999995,167.9999998,44.99999994,5627.999992,5488.999993,26.99999996,3.999999995,86.99999988,20.99999997,2175.999997,0,68.99999991,87.99999988,80.99999989,105.9999999,204.9999997,145.9999998,92.99999987,182.9999998,97.99999987,139.9999998,120.9999998,237.9999997,205.9999997,185.9999997,166.9999998,48.99999993,2131.999997,1508.999998,622.9999992,5732.999992,5427.999993,4149.999994,1254.999998,22.99999997,304.9999996,5516.999993,1064.999999,1019.999999,44.99999994,0,0,0,44.99999994,44.99999994,0,4451.999994,4153.999994,297.9999996,27.99999996,27.99999996,0,269.9999996,249.9999997,19.99999997
29189220803,Census Tract 2208.03,"Census Tract 2208.03, St. Louis County, Missouri",0,29,189,220803,5337.000003,5337.000003,193.0000001,220.0000001,405.0000002,371.0000002,568.0000003,473.0000002,546.0000003,1006,916.0000005,443.0000002,165.0000001,31.00000002,5337.000003,5296.000003,2.000000001,6.000000003,17.00000001,16.00000001,1931.000001,38.00000002,63.00000003,81.00000004,56.00000003,47.00000002,90.00000004,118.0000001,138.0000001,90.00000004,104.0000001,96.00000005,86.00000004,261.0000001,96.00000005,275.0000001,189.0000001,103.0000001,1927.000001,1794.000001,133.0000001,5405.000003,5278.000003,3993.000002,1264.000001,21.00000001,127.0000001,5220.000003,1001,948.0000005,53.00000003,5.000000002,5.000000002,0,48.00000002,48.00000002,0,4219.000002,4075.000002,144.0000001,16.00000001,16.00000001,0,128.0000001,122.0000001,6.000000003
29189221000,Census Tract 2210,"Census Tract 2210, St. Louis County, Missouri",0,29,189,221000,3929.999992,3929.999992,297.9999994,348.9999993,379.9999992,256.9999995,416.9999992,578.9999989,430.9999991,443.9999991,404.9999992,254.9999995,88.99999982,25.99999995,3929.999992,2839.999994,1049.999998,5.999999988,15.99999997,17.99999996,1298.999997,57.99999989,96.99999981,41.99999992,79.99999984,75.99999985,107.9999998,97.99999981,57.99999989,131.9999997,84.99999983,115.9999998,79.99999984,92.99999982,94.99999981,26.99999995,46.99999991,6.999999986,1255.999998,1042.999998,212.9999996,3860.999992,3762.999993,2804.999994,957.9999981,0,97.99999981,3542.999993,967.9999981,934.9999981,32.99999993,16.99999997,16.99999997,0,15.99999997,9.99999998,5.999999988,2574.999995,2483.999995,90.99999982,46.99999991,30.99999994,15.99999997,43.99999991,43.99999991,0
29189221100,Census Tract 2211,"Census Tract 2211, St. Louis County, Missouri",0,29,189,221100,1723.223593,1723.223593,78.20139484,98.68271253,143.3692239,111.7162783,158.2647277,218.7777118,240.1899984,245.7758124,234.6041845,129.4046891,51.20329424,13.03356581,1723.223593,1683.191927,26.06713161,0,10.24065885,3.723875945,575.3388335,0,10.24065885,6.516782903,7.447751889,4.654844931,21.41228668,32.58391452,25.13616263,28.86003857,16.75744175,41.89360438,36.30779046,47.4794183,46.54844931,96.82077456,121.0259682,31.65294553,590.2343372,516.6877873,73.54654991,1724.154562,1710.190028,1171.158985,539.031043,0,13.96453479,1655.262857,386.3521293,386.3521293,0,0,0,0,0,0,0,1268.910728,1234.464876,34.44585249,13.96453479,13.96453479,0,20.4813177,13.03356581,7.447751889
29189221201,Census Tract 2212.01,"Census Tract 2212.01, St. Louis County, Missouri",0,29,189,221201,2371.644593,2371.644593,87.64591078,97.14803865,171.3322856,154.0154003,179.4226869,200.8723335,260.3564155,301.6985766,224.0055587,320.0377507,295.2822742,79.82736147,2371.644593,2344.723161,1.929506689,3.99304345,20.72323773,0.275643813,932.0373975,6.987826037,40.68845498,77.34846308,55.45563506,58.24368479,60.48234281,69.29536114,28.81363902,65.02667388,48.15865769,38.04012308,54.59709202,69.39967553,29.40033008,83.03456467,86.82277118,60.24210243,922.1591032,766.9760086,155.1830947,2354.743069,2272.850275,1800.70388,472.1463953,0,81.89279415,2269.78279,420.9145645,415.9232602,4.991304312,0,0,0,4.991304312,4.991304312,0,1848.868225,1784.426347,64.44187874,14.01105551,14.01105551,0,50.43082323,49.8795356,0.551287625
29189221202,Census Tract 2212.02,"Census Tract 2212.02, St. Louis County, Missouri",0,29,189,221202,5977.302491,5977.302491,187.3647,290.5842744,463.0241512,379.4288727,718.5276924,554.4117388,695.3037695,894.6107345,831.8493634,564.2513924,275.7471527,122.1986491,5977.302491,5887.049522,5.031136863,6.028787132,70.15730584,9.035739008,2112.773903,27.09744826,90.19290761,122.2713823,123.3889036,140.4280401,127.33073,106.4202185,87.5180138,82.59819783,75.43853616,118.4589842,116.4627215,159.9003958,141.6620193,228.7996397,204.5891121,160.2166524,2142.76067,1726.751168,416.0095024,5955.271278,5766.626651,4556.1194,1210.477937,0.029314082,188.6446262,5767.916562,1098.967104,1067.745576,31.22152721,4.036537535,4.030183179,0.006354356,27.18498967,27.17074225,0.014247425,4668.949458,4410.308068,258.6413899,17.1029804,17.08942221,0.013558185,241.5384095,236.5279176,5.010491949
