Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T001_001,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T007_012,SE_T007_013,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T011_005,SE_T011_006,SE_T041_001,SE_T041_002,SE_T041_003,SE_T041_004,SE_T041_005,SE_T041_006,SE_T041_007,SE_T041_008,SE_T041_009,SE_T041_010,SE_T041_011,SE_T041_012,SE_T041_013,SE_T041_014,SE_T041_015,SE_T041_016,SE_T041_017,SE_T041_018,SE_T041_019,SE_T041_020,SE_T041_021,SE_T041_022,SE_T041_023,SE_T041_024,SE_T041_025,SE_T041_026,SE_T053_001,SE_T053_002,SE_T053_003,SE_T082_001,SE_T082_002,SE_T082_003,SE_T082_004,SE_T082_005,RC1990SF3_RC1990SF3_005_P031_001,RC1990SF3_RC1990SF3_005_P031_002,RC1990SF3_RC1990SF3_005_P031_003,RC1990SF3_RC1990SF3_005_P031_004,RC1990SF3_RC1990SF3_005_P031_005,RC1990SF3_RC1990SF3_005_P031_006,RC1990SF3_RC1990SF3_005_P031_007,RC1990SF3_RC1990SF3_005_P031_008,RC1990SF3_RC1990SF3_005_P031_009,RC1990SF3_RC1990SF3_005_P031_010,RC1990SF3_RC1990SF3_005_P031_011,RC1990SF3_RC1990SF3_005_P031_012,RC1990SF3_RC1990SF3_005_P031_013,RC1990SF3_RC1990SF3_005_P031_014,RC1990SF3_RC1990SF3_005_P031_015,RC1990SF3_RC1990SF3_005_P031_016,RC1990SF3_RC1990SF3_005_P031_017,RC1990SF3_RC1990SF3_005_P031_018,RC1990SF3_RC1990SF3_005_P031_019,RC1990SF3_RC1990SF3_005_P031_020,RC1990SF3_RC1990SF3_005_P031_021,RC1990SF3_RC1990SF3_005_P031_022,RC1990SF3_RC1990SF3_005_P031_023,RC1990SF3_RC1990SF3_005_P031_024,RC1990SF3_RC1990SF3_005_P031_025,RC1990SF3_RC1990SF3_005_P031_026,RC1990SF3_RC1990SF3_005_P031_027
29510106100,Census Tract 1061,"Census Tract 1061, St. Louis city, Missouri",0,29,510,106100,4083.000008,4083.000008,387.0000007,377.0000007,322.0000006,179.0000003,413.0000008,641.0000012,465.0000009,239.0000004,408.0000008,372.0000007,208.0000004,72.00000014,4083.000008,31.00000006,4041.000008,2.000000004,4.000000008,5.000000009,1315.000002,257.0000005,270.0000005,67.00000013,73.00000014,73.00000014,71.00000013,94.00000018,62.00000012,33.00000006,37.00000007,57.00000011,39.00000007,31.00000006,16.00000003,19.00000004,15.00000003,5.000000009,0,26.00000005,38.00000007,15.00000003,7.000000013,0,5.000000009,5.000000009,1356.000003,617.0000012,739.0000014,4083.000008,4083.000008,0,0,0,3696.000007,3531.000007,48.00000009,0,0,0,10.00000002,0,10.00000002,7.000000013,0,81.00000015,0,0,0,0,0,0,0,0,0,0,0,0,0,9.000000017,0
29510106200,Census Tract 1062,"Census Tract 1062, St. Louis city, Missouri",0,29,510,106200,3563.000021,3563.000021,424.0000026,377.0000023,307.0000018,189.0000011,410.0000025,564.0000034,374.0000023,273.0000016,271.0000016,201.0000012,147.0000009,26.00000016,3563.000021,33.0000002,3513.000021,11.00000007,4.000000024,2.000000012,1193.000007,266.0000016,205.0000012,96.00000058,48.00000029,109.0000007,55.00000033,90.00000054,55.00000033,43.00000026,32.00000019,39.00000023,40.00000024,0,35.00000021,25.00000015,0,6.000000036,11.00000007,0,27.00000016,4.000000024,0,7.000000042,0,0,1177.000007,413.0000025,764.0000046,3563.000021,3551.000021,12.00000007,0,12.00000007,3139.000019,3055.000018,0,0,0,0,0,0,0,7.000000042,0,65.00000039,0,0,0,0,0,0,12.00000007,0,0,0,0,0,0,0,0
29510106300,Census Tract 1063,"Census Tract 1063, St. Louis city, Missouri",0,29,510,106300,4086.000063,4086.000063,432.0000066,392.000006,391.000006,212.0000032,461.0000071,602.0000092,377.0000058,328.000005,377.0000058,338.0000052,144.0000022,32.00000049,4086.000063,41.00000063,4038.000062,5.000000077,2.000000031,0,1405.000022,324.000005,201.0000031,184.0000028,72.0000011,78.00000119,85.0000013,107.0000016,80.00000122,43.00000066,24.00000037,53.00000081,21.00000032,27.00000041,33.00000051,5.000000077,0,9.000000138,6.000000092,6.000000092,25.00000038,13.0000002,6.000000092,3.000000046,0,0,1399.000021,605.0000093,794.0000122,4086.000063,4073.000062,13.0000002,7.000000107,6.000000092,3654.000056,3584.000055,20.00000031,0,0,0,0,0,0,13.0000002,0,37.00000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29510106400,Census Tract 1064,"Census Tract 1064, St. Louis city, Missouri",0,29,510,106400,3979.000012,3979.000012,334.000001,283.0000009,295.0000009,194.0000006,352.0000011,629.0000019,468.0000014,354.0000011,436.0000013,405.0000012,178.0000005,51.00000016,3979.000012,19.00000006,3947.000012,6.000000018,5.000000015,2.000000006,1550.000005,225.0000007,263.0000008,105.0000003,118.0000004,124.0000004,93.00000028,87.00000027,51.00000016,41.00000012,51.00000016,55.00000017,42.00000013,73.00000022,35.00000011,14.00000004,24.00000007,15.00000005,19.00000006,13.00000004,33.0000001,34.0000001,20.00000006,7.000000021,8.000000024,0,1578.000005,735.0000022,843.0000026,3979.000012,3964.000012,15.00000005,15.00000005,0,3645.000011,3569.000011,6.000000018,0,0,0,0,0,0,7.000000021,0,63.00000019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29510106500,Census Tract 1065,"Census Tract 1065, St. Louis city, Missouri",0,29,510,106500,4291.999892,4291.999892,343.9999913,317.999992,269.9999932,167.9999958,364.9999908,629.9999841,455.9999885,311.9999921,482.9999878,483.9999878,356.999991,104.9999974,4291.999892,51.99999869,4224.999893,4.999999874,3.999999899,5.999999849,1602.99996,271.9999931,338.9999914,120.9999969,121.9999969,46.99999881,78.99999801,39.99999899,61.99999844,51.99999869,48.99999876,30.99999922,46.99999881,42.99999891,41.99999894,46.99999881,51.99999869,47.99999879,12.99999967,19.9999995,17.99999955,27.99999929,15.9999996,4.999999874,9.999999748,0,1615.999959,773.9999805,841.9999788,4291.999892,4278.999892,12.99999967,5.999999849,6.999999823,3947.9999,3907.999901,0,5.999999849,0,0,0,0,0,4.999999874,0,21.99999944,6.999999823,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29510106600,Census Tract 1066,"Census Tract 1066, St. Louis city, Missouri",0,29,510,106600,3722.999955,3722.999955,339.9999958,343.9999958,323.999996,191.9999977,357.9999956,552.9999932,442.9999946,294.9999964,329.999996,290.9999964,193.9999976,58.99999928,3722.999955,14.99999982,3704.999955,2.999999963,0,0,1166.999986,169.9999979,243.999997,105.9999987,58.99999928,92.99999886,50.99999938,67.99999917,31.99999961,67.99999917,27.99999966,55.99999932,22.99999972,30.99999962,5.999999927,33.99999958,5.999999927,6.999999915,19.99999976,14.99999982,24.99999969,19.99999976,0,4.999999939,0,0,1185.999986,500.9999939,684.9999916,3722.999955,3722.999955,0,0,0,3382.999959,3309.99996,7.999999902,0,0,0,0,0,0,0,0,57.99999929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.999999915
29510106700,Census Tract 1067,"Census Tract 1067, St. Louis city, Missouri",0,29,510,106700,5036.869563,5036.869563,383.9900561,363.990574,403.9895381,263.9931635,437.9886577,711.9815623,563.9853948,407.9894346,457.9881398,568.9852653,363.990574,107.9972033,5036.869563,19.99948209,5009.870263,1.999948209,1.999948209,2.999922313,1928.950047,373.990315,418.9891497,80.99790245,115.9969961,106.9972292,29.99922313,74.99805782,86.99774707,32.99914544,64.99831678,123.9967889,38.99899007,30.99919723,37.99901596,61.99839447,27.99927492,15.99958567,24.99935261,6.99981873,55.99854984,74.99805782,26.99930082,13.99963746,0,0,1979.948727,1049.97281,929.975917,5036.869563,5020.869978,15.99958567,7.999792834,7.999792834,4652.879507,4531.882641,0,0,0,0,0,0,0,56.99852395,0,47.99875701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.99958567
29510107200,Census Tract 1072,"Census Tract 1072, St. Louis city, Missouri",0,29,510,107200,2177.000016,2177.000016,204.0000015,207.0000015,208.0000015,143.0000011,298.0000022,331.0000024,265.000002,200.0000015,185.0000014,80.00000059,44.00000032,12.00000009,2177.000016,69.00000051,2104.000016,3.000000022,1.000000007,0,694.0000051,107.0000008,121.0000009,20.00000015,31.00000023,25.00000018,22.00000016,69.00000051,29.00000021,8.000000059,22.00000016,45.00000033,25.00000018,0,12.00000009,8.000000059,44.00000032,20.00000015,23.00000017,55.00000041,0,8.000000059,0,0,0,0,708.0000052,413.0000031,295.0000022,2186.000016,2170.000016,16.00000012,0,16.00000012,2005.000015,1916.000014,0,0,0,0,0,0,0,32.00000024,0,36.00000027,21.00000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29510107300,Census Tract 1073,"Census Tract 1073, St. Louis city, Missouri",0,29,510,107300,7243.999966,7243.999966,591.9999972,595.9999972,628.999997,433.9999979,870.9999959,1020.999995,957.9999955,834.9999961,686.9999968,420.999998,153.9999993,45.99999978,7243.999966,208.999999,7002.999967,10.99999995,12.99999994,7.999999962,2204.99999,223.9999989,187.9999991,152.9999993,94.99999955,114.9999995,115.9999995,114.9999995,58.99999972,139.9999993,85.99999959,144.9999993,42.9999998,89.99999957,38.99999982,17.99999991,70.99999966,93.99999956,97.99999954,33.99999984,68.99999967,134.9999994,64.99999969,0,0,12.99999994,2186.99999,1748.999992,437.9999979,7243.999966,7221.999966,21.9999999,11.99999994,9.999999953,6653.999969,6459.999969,56.99999973,10.99999995,0,0,0,0,0,26.99999987,0,81.99999961,0,0,0,0,0,0,0,0,0,16.99999992,0,0,0,0,0
29510107400,Census Tract 1074,"Census Tract 1074, St. Louis city, Missouri",0,29,510,107400,5176.000038,5176.000038,553.000004,556.0000041,552.000004,301.0000022,634.0000046,830.000006,592.0000043,472.0000034,392.0000029,202.0000015,73.00000053,19.00000014,5176.000038,141.000001,5029.000037,0,4.000000029,2.000000015,1364.00001,172.0000013,210.0000015,74.00000054,88.00000064,115.0000008,85.00000062,69.0000005,58.00000042,59.00000043,54.00000039,44.00000032,41.0000003,53.00000039,47.00000034,41.0000003,20.00000015,0,27.0000002,40.00000029,23.00000017,19.00000014,14.0000001,0,0,11.00000008,1380.00001,959.000007,421.0000031,5176.000038,5176.000038,0,0,0,4623.000034,4542.000033,6.000000044,0,0,0,0,0,0,22.00000016,0,47.00000034,6.000000044,0,0,0,0,0,0,0,0,0,0,0,0,0,0
